,,,,,,,,,,,,,
,,,,,,,,,,,,,
s_coord,East_P,North_P,East_MP,North_MP,Max_speed,All_way_stop,Bus_stop,Right_curb_east,Right_curb_north,Left_curb_east,Left_curb_north,Center_line_east,Center_line_north
14.93183706,-402.5210654,604.2901059,,,5.555555556,0,0,-402.5210654,604.2901059,-402.5210654,604.2901059,-402.5210654,604.2901059
15.49751917,-402.0165941,604.5460451,,,5.555555556,0,0,-402.0165941,604.5460451,-402.0165941,604.5460451,-402.0165941,604.5460451
16.07225833,-401.5059517,604.8098053,,,5.555555556,0,0,-401.5059517,604.8098053,-401.5059517,604.8098053,-401.5059517,604.8098053
16.65218089,-400.989523,605.0736454,,,5.555555556,0,0,-400.989523,605.0736454,-400.989523,605.0736454,-400.989523,605.0736454
17.24160881,-400.4652396,605.3430006,,,5.555555556,0,0,-400.4652396,605.3430006,-400.4652396,605.3430006,-400.4652396,605.3430006
17.83854621,-399.9355761,605.6183019,,,5.555555556,0,0,-399.9355761,605.6183019,-399.9355761,605.6183019,-399.9355761,605.6183019
18.44246908,-399.400362,605.8980674,,,5.555555556,0,0,-399.400362,605.8980674,-399.400362,605.8980674,-399.400362,605.8980674
19.05268538,-398.858894,606.1794502,,,5.555555556,0,0,-398.858894,606.1794502,-398.858894,606.1794502,-398.858894,606.1794502
19.66562602,-398.3170252,606.4659367,,,5.555555556,0,0,-398.3170252,606.4659367,-398.3170252,606.4659367,-398.3170252,606.4659367
20.27844691,-397.7743794,606.7506908,,,5.555555556,0,0,-397.7743794,606.7506908,-397.7743794,606.7506908,-397.7743794,606.7506908
20.88794721,-397.2345613,607.0336873,,,5.555555556,0,0,-397.2345613,607.0336873,-397.2345613,607.0336873,-397.2345613,607.0336873
21.4969911,-396.6958031,607.3177191,,,5.555555556,0,0,-396.6958031,607.3177191,-396.6958031,607.3177191,-396.6958031,607.3177191
22.10515877,-396.1579369,607.6015639,,,5.555555556,0,0,-396.1579369,607.6015639,-396.1579369,607.6015639,-396.1579369,607.6015639
