,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_coordinate,East_P,North_P,East_MP,North_MP,Max_speed,Max_Speed_MP,All_way_stop,Bus_stop,Speed_bump,Ped_crossing,Left_curb_east,Left_curb_north,Right_curb_east,Right_curb_north,Bus_stop_line_east,Bus_stop_line_north,Center_line_east,Center_line_north,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,PI1_1_x,PI1_1_y,PI1_2_x,PI1_2_y,PI2_1_x,PI2_1_y,PI2_2_x,PI2_2_y
9.7393060895,5.9709539232,-7.4227518458,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,11.2154837089,-3.3788386782,1.68607113213201,-7.09232008077183,1.68607113213201,-7.09232008077183,7.756692755,-5.794548568,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
10.5272746617,6.4888842373,-8.01658908,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,11.2154837089,-3.3788386782,1.70235078301164,-8.78974214705545,1.70235078301164,-8.78974214705545,8.2696754533,-6.435580573,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
11.3148581956,7.0124566286,-8.6049425229,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,12.1634914293,-4.4589567603,1.70235078301164,-8.78974214705545,1.70235078301164,-8.78974214705545,8.5255213318,-6.7597844543,-12.7041677132,-16.1003278774,42.805238777,-32.4787553397,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
12.0998041794,7.5290461701,-9.1959378216,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,12.1634914293,-4.4589567603,1.70235078301164,-8.78974214705545,1.70235078301164,-8.78974214705545,9.0733261463,-7.3895910937,-12.7041677132,-16.1003278774,42.805238777,-32.4787553397,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
12.8857373323,8.0509010212,-9.783609869,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,13.1114991496,-5.5390748424,3.45305853347611,-13.8853693246385,3.45305853347611,-13.8853693246385,9.6408991969,-8.0198882421,-12.7041677132,-16.1003278774,42.805238777,-32.4787553397,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
13.6661667517,8.5593097404,-10.3757168297,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,13.1114991496,-5.5390748424,3.45305853347611,-13.8853693246385,3.45305853347611,-13.8853693246385,10.2012365423,-8.654372801,-12.7041677132,-16.1003278774,42.805238777,-32.4787553397,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
14.4478112365,9.0652283763,-10.971547707,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,14.0595068699,-6.6191929245,4.17648788382913,-14.7673474216276,4.17648788382913,-14.7673474216276,10.7941632048,-9.2478235406,-12.7041677132,-16.1003278774,42.805238777,-32.4787553397,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
15.2465536038,9.5915668409,-11.5723448358,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,14.8254307567,-7.4610599623,4.89991723418216,-15.6493255186168,4.89991723418216,-15.6493255186168,11.3791578367,-9.8710988725,-12.7041677132,-16.1003278774,42.805238777,-32.4787553397,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
16.0267398406,10.1063002951,-12.1586383078,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,14.8254307567,-7.4610599623,5.62334658453518,-16.531303615606,5.62334658453518,-16.531303615606,11.9286978365,-10.5022049584,-12.7041677132,-16.1003278774,42.805238777,-32.4787553397,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
16.8130429879,10.6257042437,-12.7489705682,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,15.5913546435,-8.3029270002,5.62334658453518,-16.531303615606,5.62334658453518,-16.531303615606,12.1965113187,-10.8279539913,-12.7041677132,-16.1003278774,42.805238777,-32.4787553397,-1.0,-1.0,13.4637637099,-27.2706325715,8.822433452,-29.4733389952,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
